id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,TotalNN,MR_SumNN,MR_Avg_NN,MR_Avg_NN_2010,DR_SumNN,DR_Avg_NN,DR_Avg_NN_2010,HR_SumNN,HR_Avg_NN,HR_Avg_NN_2010
3145,5194,5138,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3418.92695811,519454.0081,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,5195,5139,I,AMESBURY,MA,"AMESBURY,MA",MVPC,0,,8584.63990649,3581006.50193,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,5196,5140,I,AMESBURY,MA,"AMESBURY,MA",MVPC,0,,8312.50246863,2687253.75461,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2832,5197,5150,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,4399.42631443,818055.693671,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207146,5198,5141,I,PORTSMOUTH,NH,"PORTSMOUTH,NH",,0,,10924.1579094,1125979.43885,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207148,5199,5142,I,PORTSMOUTH,NH,"PORTSMOUTH,NH",,0,,7522.02968418,1105472.94551,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207147,5200,5143,I,NEWINGTON,NH,"NEWINGTON,NH",,0,,32340.9004176,21362626.0101,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3143,5201,5144,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2565.86700724,248302.066159,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3151,5202,5145,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2502.43116984,268362.700467,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3089,5203,5147,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,9928.30291769,3856180.79691,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2823,5204,5148,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,3736.71461846,829236.259538,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2831,5205,5149,I,AUBURN,MA,"AUBURN,MA",CMRPC,0,,3242.75393483,530909.36215,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3186,5206,5156,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1283.03667019,104866.091825,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3187,5207,5157,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1285.23432886,90799.7496725,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3147,5208,5151,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,4276.86691547,1001991.21216,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3149,5209,5152,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3250.43121116,306845.444434,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3150,5210,5153,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,4641.01839031,936616.284183,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3146,5211,5154,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2420.96550231,146808.42955,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3144,5212,5155,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,1917.72182172,155533.903784,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3198,5213,5161,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,2504.68450648,180179.768379,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3093,5214,5162,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,5449.38933175,646771.284724,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3107,5215,5163,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,5641.23724629,1606096.22848,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3086,5216,5164,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,7635.02632553,631919.405079,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3127,5217,5165,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3183.72982435,555130.18405,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3087,5218,5166,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3349.0140868,461744.303101,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3113,5219,5171,I,WORCESTER,MA,"WORCESTER,MA",CMRPC,0,,3744.88725768,721501.084686,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
