id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,Weighted_Average_MR_2010,Weighted_Average_DR_2010,Weighted_Average_HR_2010
5470,5094,5026,I,LONGMEADOW,MA,"LONGMEADOW,MA",PVPC,0,,5948.04605317,1307582.8095,139.94769360234622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5507,5095,5040,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,3186.00199929,343001.113392,136.5300645866175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5481,5096,5034,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,4432.80868108,615411.943017,136.42951916294865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5482,5097,5035,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,4226.33079933,552055.854822,136.40279155992823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5583,5098,5036,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,3689.21382128,366897.140901,136.3193894887647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5587,5099,5037,I,CHICOPEE,MA,"CHICOPEE,MA",PVPC,0,,3430.54102301,503537.146264,136.08281236961153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5502,5100,5038,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,5052.05217095,1218847.82052,136.9979115092665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5503,5101,5039,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,2843.43686558,360814.737832,136.75426183189023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5521,5102,5042,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,9044.52745354,2675140.32354,136.65943864112205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5528,5103,5043,I,SPRINGFIELD,MA,"SPRINGFIELD,MA",PVPC,0,,2321.24898944,271418.654263,138.64556742875786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
