id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,Weighted_Average_MR_2010,Weighted_Average_DR_2010,Weighted_Average_HR_2010
208434,1263,1161,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,2800.76276342,297846.231119,0.3706603248378194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208420,1264,1162,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,2422.5339353,270224.42622,0.34294316474600617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208312,1265,1163,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,3235.99591079,634056.358677,0.34027520728130123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208331,1266,1164,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,3655.63831124,546619.505787,0.3214072147484102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208447,1267,1165,I,NORTH SMITHFIELD,RI,"NORTH SMITHFIELD,RI",,0,,9614.53460495,3849536.15628,0.35312079003984687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208460,1268,1168,I,WOONSOCKET,RI,"WOONSOCKET,RI",,0,,3723.33017004,637574.275852,0.43898814980698225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208478,1269,1169,I,WOONSOCKET,RI,"WOONSOCKET,RI",,0,,2981.70189014,596715.549732,0.45362795227949965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208469,1270,1170,I,WOONSOCKET,RI,"WOONSOCKET,RI",,0,,3743.88430342,313338.508303,0.43503932976871784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2416,1271,1166,I,UXBRIDGE,MA,"UXBRIDGE,MA",CMRPC,0,,26384.2063854,31881238.1687,0.3704619227649678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2410,1272,1167,I,MILLVILLE,MA,"MILLVILLE,MA",CMRPC,0,,7611.006077,2733219.61897,0.3814497078816669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208472,1273,1171,I,WOONSOCKET,RI,"WOONSOCKET,RI",,0,,4200.73215802,345721.109997,0.44814969582256736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406,1274,1172,I,BLACKSTONE,MA,"BLACKSTONE,MA",CMRPC,0,,4683.07132802,1158999.28109,0.46292698003153326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2424,1275,1173,I,FOXBOROUGH,MA,"FOXBOROUGH,MA",BRMPO,1,TRIC,14080.3179223,2472831.87199,0.9072793627850899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4006,1276,1174,I,MANSFIELD,MA,"MANSFIELD,MA",SRPEDD,0,,10583.5691869,5636154.67849,0.6630114989745313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4083,1277,1175,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,9897.74734254,3191301.26591,0.6242833872724375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4084,1278,1176,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,4993.25032879,1116853.50464,0.5580627835193712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4081,1279,1177,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,2820.54212097,475427.118253,0.5523682489289674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,1280,4167,I,BOSTON,MA,"BOSTON,MA",BRMPO,1,ICC,1562.74298427,110067.462879,1472.2660363466223,25822.980151504427,51118.15805992023,753428.7771924771,17.539615473018223,34.72073443110064,511.747713111745,353.105922047104,23.95730675745944,12.102334676382574
4089,1281,1178,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,6425.51986208,755943.486981,0.5370075271705939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4101,1282,1179,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,8736.09436009,2791247.96107,0.4935156052337304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4120,1283,1180,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,10885.1774793,5564420.59017,0.476531368606195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4121,1284,1181,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,8723.11710323,2191874.81817,0.42783435298630634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207232,1285,2008,I,MANCHESTER,NH,"MANCHESTER,NH",,0,,5008.10818277,772025.070544,0.18227509295618477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4123,1286,1182,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,7027.92876134,1680641.68649,0.42232684345091964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4127,1287,1183,I,SEEKONK,MA,"SEEKONK,MA",SRPEDD,0,,5728.01625771,1883362.51318,0.36598560829972704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4079,1288,1198,I,NORTH ATTLEBOROUGH,MA,"NORTH ATTLEBOROUGH,MA",SRPEDD,0,,4683.4398757,679765.550547,0.5352465609408248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
