lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 500 Harrison Ave Parking,"500 Harrison Ave Boston, MA 02118, US ",2 Hours:  $9; Each Add'l Hour:  $3; Daily Max:  $24; ,Monthly:  $300-$350,$350.00,https://www.parkme.com/lot/80413
 363 Congress St Parking,"363 Congress St Boston, MA 02210, US ",,Monthly:  $350,$350.00,https://www.parkme.com/lot/332494
 North End,"600 Commercial St Boston, MA 02109, US ",30 Min:  $9; 1 Hour:  $15; 1.5 Hours:  $19; 2 Hours:  $23; 10 Hours:  $27; 24 Hours:  $37; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $22; Evening: Sun-Wed; In After 5pm / Out By 5am $19; Evening: Thu-Sat; In After 5pm / Out By 5am $25; Event:  $44; ,Monthly:  $370,$370.00,https://www.parkme.com/lot/15223
 Lewis Wharf,"641 Lewis Wharf Boston, MA 02109, US ",30 Min:  $7; 1 Hour:  $13; 1.5 Hours:  $19; 10 Hours:  $23; 24 Hours:  $30; Early Bird: Mon-Fri; In 5am-9am / Out By 6pm $20; Evening: Mon-Fri; In After 4pm $18; Sat-Sun:  $24; ,Monthly:  $370,$370.00,https://www.parkme.com/lot/32098
 Sargent's Wharf,"269 Commercial St Boston, MA 02110, US ",30 Min:  $7; 1 Hour:  $13; 2 Hours:  $19; 8 Hours:  $23; Daily Max:  $30; Early Bird: Mon-Fri; In Between 5am-9am / Out By 8pm $20; Evening: Mon-Fri; In After 4pm / Out By 5am $18; Sat-Sun:  $24; Event:  $30; ,Monthly:  $370,$370.00,https://www.parkme.com/lot/80440
 1330 Boylston St Garage,"75 Jersey St Boston, MA 02215, US ",1 Hour:  $12; 1.5 Hours:  $20; 2 Hours:  $25; 3 Hours:  $32; Daily Max:  $36; Mon-Fri: In After 4pm; 6 Hour Max $10; Mon-Fri: In After 4pm / Out By 8am $15; 6 Hours: Sat-Sun $10; Sat-Sun: Out By 8am $15; ,Monthly:  $375,$375.00,https://www.parkme.com/lot/52849
 Gainsboro Garage,"10 Gainsborough St Boston, MA 02115, US ",10 Hours:  $19; 24 Hours:  $21; ,Monthly:  $125-$380,$380.00,https://www.parkme.com/lot/26169
 North Station Garage,"121 Nashua St Boston, MA 02114, US ",Each 30 Min: Mon-Fri; 5am-6pm $7; 2 Hours: Mon-Fri; 6am-6pm $21; 3 Hours: Mon-Fri; 6am-6pm $25; 12 Hours: Mon-Fri; 6am-6pm $30; Max: Mon-Fri $68; Early Bird: In By 9am / Out By 6pm $22; Evening: In After 6pm $10; 10 Hours: Sat-Sun $10; Event:  $48; ,Monthly:  $380,$380.00,https://www.parkme.com/lot/32146
 AVA Theater District,"45 Stuart St Boston, MA 02116, US ",4 Hours:  $15; 8 Hours:  $18; 12 Hours:  $34; 24 Hours:  $43; ,Monthly:  $385,$385.00,https://www.parkme.com/lot/32163
 Landmark Center,"445 Park Dr Boston, MA 02215, US ",10 Min:  Free; 30 Min:  $5; 1 Hour:  $7; 1.5 Hours:  $10; 2 Hours:  $12; 2.5 Hours:  $15; 18 Hours:  $28; 30 Min: With Validation $2; 1 Hour: With Validation $3; 1.5 Hours: With Validation $6; 2 Hours: With Validation $9; 2.5 Hours: With Validation $13; 18 Hours: With Validation $24; Event: 18 Hours $50-$55; ,Monthly:  $145-$385,$385.00,https://www.parkme.com/lot/80426
 660 Washington St Garage,"660 Washington St Boston, MA 02111, US ",30 Min:  $7; 1 Hour:  $13; 1.5 Hours:  $21; 2 Hours:  $23; 12 Hours:  $27; 24 Hours:  $31; Early Bird: Mon-Fri; In Between 5am-9am / Out By 7pm $19; Evening: Mon-Fri; 6pm-5am $17; 12 Hours: Sat-Sun; Out By 5am $17; Sat-Sun:  $20; ,Monthly:  $335-$395,$395.00,https://www.parkme.com/lot/15258
 Hynes Auditorium,"50 Dalton St Boston, MA 02115, US ",30 Min:  $9; 1 Hour:  $16; 1.5 Hours:  $21; 2 Hours:  $26; 2.5 Hours:  $31; 12 Hours:  $35; 24 Hours:  $39; Early Bird: In By 9am / Out By 6pm $25; 30 Min: In After 4pm / Out By 6am $9; 1 Hour: In After 4pm / Out By 6am $16; Max: In After 4pm / Out By 6am $19; Event: Sat-Sun; Out By 3am $19; ,Monthly:  $400,$400.00,https://www.parkme.com/lot/15294
 Boston Common,"16 Charles St Boston, MA 02108, US ",1 Hour: Mon-Fri; In Between 6am-4pm $10; 2 Hours: Mon-Fri; In Between 6am-4pm $18; 3 Hours: Mon-Fri; In Between 6am-4pm $24; 10 Hours: Mon-Fri; In Between 6am-4pm $28; 24 Hours: Mon-Fri; In Between 6am-4pm $32; 1 Hour: Mon-Fri; In Between 4pm-6am / Out By 8am $10; 3 Hours: Mon-Fri; In Between 4pm-6am / Out By 8am $14; Max: Mon-Fri; In Between 4pm-6am / Out By 8am $18; 1 Hour: Sat-Sun $10; 3 Hours: Sat-Sun $14; Max: Sat-Sun $18; Max: With Validation $16; ,Monthly:  $150-$400,$400.00,https://www.parkme.com/lot/32172
 Marine Industrial Park Central Parking Garage,"12 Drydock Ave Boston, MA 02210, US ",30 Min:  $10; 1 Hour:  $12; 1.5 Hours:  $13; 2 Hours:  $15; 3 Hours:  $20; Daily Max:  $30; Evening: In After 4pm $20; Sat-Sun:  $20; Event:  $25; ,Monthly:  $400,$400.00,https://www.parkme.com/lot/32195
 Ritz Carlton Boston Common,"47 Boylston St Boston, MA 02116, US ",30 Min: Mon-Fri; 5am-4:59pm $8; 1 Hour: Mon-Fri; 5am-4:59pm $16; 1.5 Hours: Mon-Fri; 5am-4:59pm $24; 2 Hours: Mon-Fri; 5am-4:59pm $30; 12 Hours: Mon-Fri; 5am-4:59pm $36; Max: Mon-Fri; 5am-4:59pm $38; 1 Hour: Mon-Fri; 5pm-4:59am $5; 1.5 Hours: Mon-Fri; 5pm-4:59am $15; Max: Mon; 5pm-4:59am $25; Max: Tue-Fri; 5pm-4:59am $20; Early Bird: Mon-Fri; In Between 5am-9:30am / Out Between 1pm-6pm $19; Valet:  $65; ,Monthly:  $400,$400.00,https://www.parkme.com/lot/80307
 5-11 Haviland Street Garage,"Public Alley 909 Boston, MA 02115, US ",Mon-Fri:  $24; Sat-Sun:  $15; Evening: In After 5pm $15; ,Monthly:  $400,$400.00,https://www.parkme.com/lot/80327
 Fenway,"16 Kilmarnock St Boston, MA 02215, US ",1 Hour:  $12; 90 Min:  $14; 2 Hours:  $20; 150 Min:  $24; 3 Hours:  $32; Daily Max:  $38; Evening: Mon-Fri; In After 4pm / Out By 8am $10; Sat-Sun:  $10; Event:  $55; ,Monthly:  $405,$405.00,https://www.parkme.com/lot/15290
 Seaport Parking,"181 Seaport Blvd Boston, MA 02210, US ",1 Hour:  $14; 3 Hours:  $30; 6 Hours:  $34; 10 Hours:  $36; 24 Hours:  $40; ,Monthly:  $130-$410,$410.00,https://www.parkme.com/lot/32202
 55 Park Ln Garage,"55 Park Ln Boston, MA 02210, US ",30 Min:  $11; 1 Hour:  $16; 1.5 Hours:  $22; 2 Hours:  $28; 3 Hours:  $30; 6 Hours:  $34; 10 Hours:  $36; 24 Hours:  $39; ,Monthly:  $205-$410,$410.00,https://www.parkme.com/lot/52879
 34 Cooper St Parking,"34 Cooper St Boston, MA 02113, US ",30 Min:  $12; 1 Hour:  $18; 10 Hours:  $24; 24 Hours:  $39; Event:  $38; ,Monthly:  $420,$420.00,https://www.parkme.com/lot/24125
 131 Dartmouth St Garage,"131 Dartmouth St Boston, MA 02116, US ",1 Hour:  $11; 2 Hours:  $20; 3 Hours:  $32; 10 Hours:  $34; 24 Hours:  $38; Early Bird: Mon-Fri; In Between 5am-9am / Out By 8pm $20; Evening: 5pm-8am $10; ,Monthly:  $150-$425,$425.00,https://www.parkme.com/lot/52756
 Atelier 505,"14 Warren Ave Boston, MA 02116, US ",1 Hour:  $13; 2 Hours:  $21; 10 Hours:  $26; 24 Hours:  $33; Early Bird: Mon-Fri; In Between 5am-9:30am / Out By 7pm $16; Evening: Mon-Wed; In After 6pm / Out By 3am $16; Evening: Thu-Fri; In After 6pm / Out By 3am $21; 1 Hour: Sun; In After 4am / Out By 12am $13; Max: Sun; In After 4am / Out By 12am $22; ,Monthly:  $315-$425,$425.00,https://www.parkme.com/lot/52945
 One Kendall Square Garage,"389 Binney St Cambridge, MA 02141, US ",30 Min:  $5; 1 Hour:  $8; 2 Hours:  $12; 3 Hours:  $14; 4 Hours:  $18; 8 Hours:  $22; Daily Max:  $23; 4 Hours: With Validation $3; ,Monthly:  $425,$425.00,https://www.parkme.com/lot/91630
 Copley Place Parking,"100 Huntington Ave Boston, MA 02116, US ",1 Hour:  $12; 1.5 Hours:  $20; 2 Hours:  $25; 5 Hours:  $38; 10 Hours:  $40; 24 Hours:  $42; Early Bird: Mon-Fri; In Between 5am-9am / Out Between 1pm-8pm $25; 3 Hours: In After 5pm / Out By 2am; With Validation $12; Event: In After 4pm $17; ,Monthly:  $450,$450.00,https://www.parkme.com/lot/15300
 Chinatown,"85 Essex St Boston, MA 02111, US ",Mon-Fri: 6am-5pm $24; Sat-Sun: 8am-5pm $15; Evening: Sun-Thu; In After 5pm $12; Evening: Fri-Sat; In After 5pm $15; ,Monthly:  $450,$450.00,https://www.parkme.com/lot/24158
 Pier 4,"200 Pier Four Blvd Boston, MA 02210, US ",30 Min:  $16; 1 Hour:  $30; Daily Max:  $40; Early Bird: In By 8am / Out After 1pm $27; Overnight: In After 5pm $15; Sat-Sun:  $15; ,Monthly:  $450,$450.00,https://www.parkme.com/lot/99527
 Christian Science Plaza,"235 Huntington Ave Boston, MA 02115, US ",1 Hour:  $11; 2 Hours:  $20; 3 Hours:  $30; 12 Hours:  $34; 24 Hours:  $40; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $25; Evening: Mon-Fri; In After 5pm / Out By 8am $15; Event:  $25; 12 Hours: Sat-Sun $20; ,Monthly:  $390-$450,$450.00,https://www.parkme.com/lot/168561
 101 Merrimac Parking,"19 Lancaster St Boston, MA 02114, US ",1 Hour:  $13; 2 Hours:  $18; 3 Hours:  $21; Daily Max:  $25; ,Monthly:  $465,$465.00,https://www.parkme.com/lot/24108
 Watermark Seaport,"44 Autumn Ln Boston, MA 02210, US ",10 Hours:  $20; 20 Hours:  $40; 24 Hours:  $60; Early Bird: In Before 9am $28; Evening: In After 5pm $17; 12 Hours: Sat-Sun $14; ,Monthly:  $465,$465.00,https://www.parkme.com/lot/232629
 400 Stuart St Garage,"400 Stuart St Boston, MA 02116, US ",30 Min:  $10; 1 Hour:  $14; 2 Hours:  $24; 3 Hours:  $32; 6 Hours:  $36; 24 Hours:  $38; Early Bird: Mon-Fri; In By 9am / Out Between 2pm-7pm $20; Evening: Mon-Fri; In After 4pm / Out By 8am $12; Sat-Sun: 12 Hours $14; Tax Not Included:  10.0%; ,Monthly:  $435,$478.50,https://www.parkme.com/lot/26828
 Stillings Garage,"11 Stillings St Boston, MA 02210, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $17; Daily Max:  $25; Early Bird: In By 8am / Out By 6pm $20; Evening: Mon-Fri; In After 5pm $10; Sat-Sun:  $16; Max: With Validation $23; ,Monthly:  $150-$480,$480.00,https://www.parkme.com/lot/32201
 South Boston Waterfront Transportation Center,"503 Congress St Boston, MA 02210, US ",1 Hour:  $9; 2 Hours:  $19; 3 Hours:  $25; 5 Hours:  $32; Daily Max:  $38; Early Bird: In By 9am / Out By 5pm $25; Event:  $21-$25; ,Monthly:  $100-$500,$500.00,https://www.parkme.com/lot/369726
 Prudential Center Garage,"79 Exeter St Boston, MA 02116, US ",1 Hour:  $13; 1.5 Hours:  $22; 2 Hours:  $32; 24 Hours:  $44; 4 Hours: With Validation; In After 9:30am $15; 5 Hours: With Validation; In After 9:30am $20; Max: In After 5pm / Out By 3am; With Validation $15; Event:  $18; ,Monthly:  $135-$510,$510.00,https://www.parkme.com/lot/32173
 341 Newbury St Garage,"338 Public Alley 430 Boston, MA 02115, US ",30 Min:  $5; 24 Hours:  $30; ,Monthly:  $345-$525,$525.00,https://www.parkme.com/lot/15292
 Motor Mart Garage,"201 Stuart St Boston, MA 02116, US ",1 Hour:  $14; 2 Hours:  $20; 10 Hours:  $30; 24 Hours:  $40; Early Bird: Mon-Fri; In Between 5am-10am; 12 Hours $24; 1 Hour: Mon-Fri; In After 3pm $10; 2 Hours: Mon-Fri; In After 3pm $18; 10 Hours: Mon-Fri; In After 3pm $25; 24 Hours: Mon-Fri; In After 3pm $40; 1 Hour: Sat-Sun $10; 2 Hours: Sat-Sun $18; 10 Hours: Sat-Sun $25; 24 Hours: Sat-Sun $40; 3 Hours: In After 5pm; With Validation $10; ,Monthly:  $173-$525,$525.00,https://www.parkme.com/lot/26170
 Revere,"200 Stuart St Boston, MA 02116, US ",1 Hour:  $14; 2 Hours:  $22; 5 Hours:  $32; 10 Hours:  $36; 24 Hours:  $42; 3 Hours: In After 3pm; With Validation $10; ,Monthly:  $173-$525,$525.00,https://www.parkme.com/lot/32158
 Clarendon Street Garage,"100 Clarendon St Boston, MA 02116, US ",1 Hour:  $12; 2 Hours:  $22; 24 Hours:  $40; Overnight: In After 5pm / Out By 8am $10; ,Monthly:  $100-$640,$640.00,https://www.parkme.com/lot/75583
 Lafayette Garage,"1 Ave De Lafayette Boston, MA 02111, US ",30 Min:  $8; 1 Hour:  $16; 1.5 Hours:  $24; 2 Hours:  $32; 12 Hours:  $38; 24 Hours:  $40; Evening: Mon-Fri; In After 4pm / Out By 5am; 12 Hours $20; 12 Hours: Sat-Sun $20; ,Monthly:  $185-$675,$675.00,https://www.parkme.com/lot/52809
 St James at Arlington,"10 St James Ave Boston, MA 02116, US ",1 Hour:  $15; 2 Hours:  $30; Daily Max:  $38; 1 Hour: Mon-Fri; In After 5pm $15; Max: Mon-Fri; In After 5pm $30; Max: Sat-Sun $38; ,Monthly:  $470-$675,$675.00,https://www.parkme.com/lot/80423
 The Back Bay Garage,"113 St James Ave Boston, MA 02116, US ",30 Min:  $12; 1 Hour:  $26; 2 Hours:  $38; Max: Out By 5am $43; Early Bird: In By 9am / Out Between 4pm-12am $28; 10 Min: Mon-Fri; 5pm-5am $5; 30 Min: Mon-Fri; 5pm-5am $8; Max: Mon-Fri; 5pm-5am $10; 1 Hour: Sat-Sun $12; 2 Hours: Sat-Sun $16; Max: Sat-Sun; Out By 5am $22; ,Monthly:  $140-$685,$685.00,https://www.parkme.com/lot/52875
 501 Boylston Garage,"84 Newbury St Boston, MA 02116, US ",30 Min:  $10; 1 Hour:  $19; 1.5 Hours:  $29; Daily Max:  $40; ,Monthly:  $140-$685,$685.00,https://www.parkme.com/lot/115710
 181-183 N Washington St Garage,"181-183 N Washington St Boston, MA 02113, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/15282
 819 Beacon St Parking,"Maitland St Boston, MA 02215, US ",Event:  $20-$50; ,,—,https://www.parkme.com/lot/24417
 189-203 Ipswich Lot,"189-203 Ipswich St Boston, MA 02215, US ",Event:  $10-$55; ,Mon-Tue:  5am-10pm,—,https://www.parkme.com/lot/26178
 369 Albany St Parking,"369 Albany St Boston, MA 02118, US ",,,—,https://www.parkme.com/lot/26820
 Museum of Fine Arts,"20-26 Museum Rd Boston, MA 02115, US ",,Mon-Tue:  5am-10pm,—,https://www.parkme.com/lot/26844
 Doctors Office Building Garage,"720 Harrison Ave Boston, MA 02118, US ",2 Hours:  $8; 3 Hours:  $12; 4 Hours:  $17; 5 Hours:  $20; 6 Hours:  $25; 7 Hours:  $30; Daily Max:  $40; ,Monthly:  $300,—,https://www.parkme.com/lot/32181
 North Lot,"93 St Stephen St Boston, MA 02115, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/80398
 Massart,"135 Ward St Boston, MA 02120, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/80403
